omega_x,omega_y,omega_z
2.7379510901223e-08,-2.08730671147742e-07,0.262516143467056
2.52689210382324e-08,-2.10649364918927e-07,0.262516143459327
2.26991073814211e-08,-2.11994207729213e-07,0.262516143451598
1.98234059597052e-08,-2.12662043187348e-07,0.262516143443953
1.68431552914678e-08,-2.12588314292211e-07,0.262516143436307
1.39587331780997e-08,-2.11762910321389e-07,0.262516143428662
1.13700203279931e-08,-2.10216464897228e-07,0.262516143425069
9.25256414218047e-09,-2.08055915516042e-07,0.262516143421476
7.75748688946888e-09,-2.05421500448677e-07,0.262516143417883
6.98697350740734e-09,-2.02487934682196e-07,0.262516143415476
7.0086829315895e-09,-1.99460164933461e-07,0.262516143413069
7.82821143145982e-09,-1.96549889944667e-07,0.262516143410662
9.40184800307016e-09,-1.93958853656234e-07,0.262516143388288
1.16173089169198e-08,-1.91879945802983e-07,0.262516143365914
1.43235590719305e-08,-1.90469588559085e-07,0.26251614334354
1.73256475690064e-08,-1.89840393231735e-07,0.262516143321286
2.04173112654176e-08,-1.90053964343762e-07,0.262516143299032
2.33754249814639e-08,-1.91112652752092e-07,0.262516143276779
2.59902840693125e-08,-1.9296863833171e-07,0.2625161432717
2.80586666868961e-08,-1.9549910692436e-07,0.262516143266622
2.94178989700905e-08,-1.98543105923083e-07,0.262516143261543
2.99499708439542e-08,-2.01903836510503e-07,0.262516143257083
2.95965881527718e-08,-2.05354671103528e-07,0.262516143252622
2.8359281860952e-08,-2.08665279156522e-07,0.262516143243304
2.6304484718855e-08,-2.11585232357138e-07,0.262516143223898
2.35405362760838e-08,-2.13923790637396e-07,0.262516143204492
2.02373659102091e-08,-2.15511184791832e-07,0.262516143185086
1.66034894980182e-08,-2.16225991320837e-07,0.2625161431671
1.28757324840635e-08,-2.16006219765642e-07,0.262516143149113
9.29994144357846e-09,-2.14852169092028e-07,0.262516143131127
6.11613544547477e-09,-2.12842733277869e-07,0.262516143138422
3.54332986991424e-09,-2.10088195362532e-07,0.262516143145717
1.75919742463101e-09,-2.06766458772136e-07,0.262516143153012
8.81938750596995e-10,-2.03096539699383e-07,0.262516143159322
9.8597345731069e-10,-1.99327398296198e-07,0.262516143165631
2.0715741827911e-09,-1.95715982479755e-07,0.262516143171941
4.0660943532418e-09,-1.9250196796315e-07,0.262516143166294
6.84327006433174e-09,-1.89923417924677e-07,0.262516143160646
1.02182685507866e-08,-1.88166593291125e-07,0.262516143154999
