2017 01 01 12 57754.500	 -4.432636216670870e-08   1.396563623022400e-07  -4.306885832011420e-10  -3.939430238578291e-11  -2.473819827447750e-11   2.882568791314110e-13
2017 01 02 12 57755.500	 -4.411698458595171e-08   1.414481954546098e-07  -4.015971285333420e-10  -3.997170117567960e-11  -2.521137128848390e-11   2.922557516188840e-13
2017 01 03 12 57756.500	 -4.454274664793969e-08   1.422491665744600e-07  -3.754104657104406e-10  -4.054575243124439e-11  -2.561673274890630e-11   2.964444397883450e-13
2017 01 04 12 57757.500	 -4.382440888582770e-08   1.452265636551499e-07  -3.440042271107430e-10  -4.108490620182500e-11  -2.618181630861540e-11   3.010779132178720e-13
2017 01 05 12 57758.500	 -4.289676599171069e-08   1.454120008892000e-07  -3.094056723821416e-10  -4.171204265334180e-11  -2.675954533974570e-11   3.059577635723890e-13
2017 01 06 12 57759.500	 -4.259824404966671e-08   1.442754274889000e-07  -2.765206161502407e-10  -4.231739114631119e-11  -2.730053127095640e-11   3.113678841918350e-13
2017 01 07 12 57760.500	 -4.191646497567971e-08   1.453836227617399e-07  -2.492700035260405e-10  -4.306212104907400e-11  -2.791370745630260e-11   3.171815299835460e-13
2017 01 08 12 57761.500	 -3.995631847784070e-08   1.468340437922400e-07  -2.299896314461406e-10  -4.381927913822080e-11  -2.859987294502910e-11   3.228515090572470e-13
2017 01 09 12 57762.500	 -3.816363650962770e-08   1.489053524198199e-07  -2.148068531808414e-10  -4.456291913074101e-11  -2.931241887289191e-11   3.285710689494450e-13
2017 01 10 12 57763.500	 -3.686181297113869e-08   1.497280220256800e-07  -1.908733752601405e-10  -4.538499252549400e-11  -3.016212752629731e-11   3.346352386354020e-13
2017 01 11 12 57764.500	 -3.622534075658569e-08   1.521709198776098e-07  -1.604569555986416e-10  -4.609275549438710e-11  -3.101163363451780e-11   3.412727614884640e-13
2017 01 12 12 57765.500	 -3.671092570817869e-08   1.547342821366400e-07  -1.292055347372431e-10  -4.678613428679631e-11  -3.183135709600620e-11   3.481715542394490e-13
2017 01 13 12 57766.500	 -3.780114990034771e-08   1.568905865629200e-07  -1.074714823240423e-10  -4.742010119559310e-11  -3.264529029422000e-11   3.550995263106900e-13
2017 01 14 12 57767.500	 -3.778135479107970e-08   1.583488440644200e-07  -8.203222363244159e-11  -4.802606283658510e-11  -3.346014298470920e-11   3.618350054661100e-13
2017 01 15 12 57768.500	 -3.736183112872869e-08   1.593000281700300e-07  -5.848740101273984e-11  -4.868330637404191e-11  -3.419316453424780e-11   3.685678659753600e-13
2017 01 16 12 57769.500	 -3.542637288748871e-08   1.614689761003499e-07  -2.913153267314155e-11  -4.938621832867550e-11  -3.496650219687321e-11   3.752392643516150e-13
