2011 01 01 00 55562.0	 -2.942046636571985e-08  -2.745287269871419e-07  -1.036906506024253e-09   1.864873024146600e-07  -1.660203045277772e-07   9.443597485133610e-10
2011 01 01 03 55562.125	 -3.013639713849238e-08  -2.745054459344943e-07  -1.024316534764549e-09   1.432081106413482e-07  -2.507867305575733e-07   8.904676700425079e-10
2011 01 01 06 55562.250	 -2.712409500886509e-08  -2.732110255410575e-07  -9.988600433733978e-10   6.979142123853983e-08  -2.743943349902208e-07   8.149794147862880e-10
2011 01 01 09 55562.375	 -2.578361448776771e-08  -2.724279546288465e-07  -9.840590877300378e-10   3.078623469469209e-08  -2.399348328451101e-07   8.334986651263698e-10
2011 01 01 12 55562.500	 -2.506466386559354e-08  -2.639670437470768e-07  -9.505259223764399e-10   3.924459351866762e-08  -1.862448636283402e-07   8.589794892161089e-10
2011 01 01 15 55562.625	 -2.273330684920323e-08  -2.587777690282094e-07  -9.628178753259649e-10   1.864708070833416e-08  -1.757658237867825e-07   8.925795207456601e-10
2011 01 01 18 55562.750	 -1.250252900612746e-08  -2.550851902017839e-07  -9.703503909025520e-10   2.212885245751653e-08  -1.318249165227549e-07   8.802562080780681e-10
2011 01 01 21 55562.875	 -6.310468402901785e-09  -2.515178356221969e-07  -9.349714899817807e-10   8.068754628319592e-08  -1.227386480404354e-07   8.237526191400778e-10
2011 01 02 00 55563.0	 -4.898573331900291e-09  -2.437856705148259e-07  -9.282370366099072e-10   1.463227064876671e-07  -1.513104040443445e-07   8.220871795257085e-10
2011 01 02 03 55563.125	 -6.078668736980771e-09  -2.393881032235688e-07  -9.524411087716304e-10   1.276052478160941e-07  -2.062159033129971e-07   7.934267259203278e-10
2011 01 02 06 55563.250	 -7.186043672853769e-09  -2.359491335078563e-07  -9.593109050735538e-10   7.326409696032870e-08  -2.072060541015117e-07   7.382939431718788e-10
2011 01 02 09 55563.375	 -1.124771893077132e-08  -2.315556635119208e-07  -9.633990635578491e-10   2.540556640828949e-08  -2.598815271411747e-07   7.079482656032201e-10
2011 01 02 12 55563.500	 -1.596201157763738e-08  -2.234805491688388e-07  -9.768282795944664e-10  -1.284761451062268e-08  -2.690284064468906e-07   6.851347183187095e-10
2011 01 02 15 55563.625	 -2.331442998348384e-08  -2.178289821689153e-07  -9.884930881860044e-10  -8.888593024724109e-08  -1.806234819308029e-07   6.463957185809482e-10
2011 01 02 18 55563.750	 -2.117109365549185e-08  -2.162720703094588e-07  -9.957194860533229e-10  -9.684207842182534e-08  -2.986068530877756e-08   5.861087259704993e-10
2011 01 02 21 55563.875	 -2.338525916406614e-08  -2.200293520200013e-07  -1.001135839336193e-09  -6.218771898690425e-08   4.629967773088294e-08   5.118153445580199e-10
2011 01 03 00 55564.0	 -2.486666805466438e-08  -2.200589837389267e-07  -1.005126840248177e-09   3.018085587435907e-08   8.445594771317685e-08   4.710158187865884e-10
2011 01 03 03 55564.125	 -3.447245222724463e-08  -2.246917766453926e-07  -1.017394809050606e-09   1.345667042394254e-07   5.393838835187312e-08   5.136938791723306e-10
2011 01 03 06 55564.250	 -3.812692737229928e-08  -2.311971585565016e-07  -1.015983306535573e-09   1.945032455390167e-07  -3.839166636530118e-09   5.184479262363498e-10
2011 01 03 09 55564.375	 -4.260862273798846e-08  -2.381488147037828e-07  -9.977881437932690e-10   1.732505931921244e-07  -5.217467985357363e-08   5.341166859505879e-10
