omega_x,omega_y,omega_z
6.4033934529363e-08,-1.91297868915832e-07,0.262516143119174
6.17821763179251e-08,-1.93309572655597e-07,0.26251614311098
5.90435498766024e-08,-1.9471290115581e-07,0.262516143102786
5.59806187814293e-08,-1.95398492271869e-07,0.262516143094681
5.28068392633784e-08,-1.95297905253151e-07,0.262516143086575
4.9734647706396e-08,-1.9440042236524e-07,0.26251614307847
4.69759529824485e-08,-1.92738521054938e-07,0.26251614307466
4.47168657699952e-08,-1.90425576295007e-07,0.262516143070851
4.31176018289364e-08,-1.87610266511718e-07,0.262516143067042
4.22864937418126e-08,-1.84477821253498e-07,0.26251614306449
4.22952714775436e-08,-1.81245520881733e-07,0.262516143061939
4.31498668176781e-08,-1.78137803359785e-07,0.262516143059387
4.48039374178077e-08,-1.75368551740742e-07,0.262516143035667
4.71384406791565e-08,-1.73142262657548e-07,0.262516143011946
4.99932515084084e-08,-1.71624769956093e-07,0.262516142988226
5.31616860300385e-08,-1.70935460117746e-07,0.262516142964633
5.64250688018816e-08,-1.71139643187224e-07,0.26251614294104
5.95468474534624e-08,-1.72239809703828e-07,0.262516142917447
6.23046989851225e-08,-1.74185260647097e-07,0.262516142912063
6.4483172303543e-08,-1.76845788944325e-07,0.262516142906679
6.59098052473536e-08,-1.80050755222824e-07,0.262516142901295
6.64594874124537e-08,-1.83591517457525e-07,0.262516142896566
6.60704183494448e-08,-1.87227809918593e-07,0.262516142891837
6.47442230048213e-08,-1.90715442049771e-07,0.262516142881958
6.25513334090286e-08,-1.93788914491814e-07,0.262516142861385
5.96066093279135e-08,-1.96246011709334e-07,0.262516142840811
5.60902072568932e-08,-1.97906750053011e-07,0.262516142820237
5.22231917891498e-08,-1.98642401131532e-07,0.262516142801169
4.82566404898977e-08,-1.98387246308063e-07,0.2625161427821
4.44511943831971e-08,-1.9714160467555e-07,0.262516142763032
4.10613162611586e-08,-1.94989120857998e-07,0.262516142770766
3.83192005786195e-08,-1.9204671477003e-07,0.2625161427785
3.64132106453859e-08,-1.88502996689226e-07,0.262516142786234
3.54686578776907e-08,-1.84590163356008e-07,0.262516142792923
3.55644392043499e-08,-1.80572156816452e-07,0.262516142799612
3.67008418356708e-08,-1.76721386778536e-07,0.262516142806302
3.88008450078578e-08,-1.7329195013799e-07,0.262516142800315
4.1730585343128e-08,-1.70536235358089e-07,0.262516142794328
4.52941060507123e-08,-1.68651709957249e-07,0.262516142788341
4.92444580147564e-08,-1.6777766685308e-07,0.262516142782732
5.3314258461071e-08,-1.67992113949588e-07,0.262516142777124
5.72196142460433e-08,-1.69297231904578e-07,0.262516142771516
6.06990504343587e-08,-1.71623278025292e-07,0.262516142773335
6.34871228685851e-08,-1.74823429736614e-07,0.262516142775155
6.53765747265881e-08,-1.78695548744642e-07,0.262516142776975
6.62177887362641e-08,-1.82986075742362e-07,0.262516142778044
6.59297728959239e-08,-1.87416522942841e-07,0.262516142779113
6.45117062375192e-08,-1.91697037211061e-07,0.26251614277707
6.2030520575233e-08,-1.95529557233335e-07,0.262516142768014
5.86296326812774e-08,-1.9865598373951e-07,0.262516142758957
5.45161647023112e-08,-2.00858723866593e-07,0.262516142749901
4.99452970404754e-08,-2.01985886866102e-07,0.262516142742063
4.52121747270139e-08,-2.01944608814831e-07,0.262516142734225
4.06223539293835e-08,-2.0072512783416e-07,0.262516142726387
3.64837722438833e-08,-1.98391607419404e-07,0.26251614273304
3.3060015466234e-08,-1.95091465797094e-07,0.262516142739694
3.05795213907208e-08,-1.91035572497005e-07,0.262516142746347
2.92008051870732e-08,-1.86489799981624e-07,0.262516142754915
2.90287498434711e-08,-1.81753991390153e-07,0.262516142763482
3.00787198379198e-08,-1.77143703593144e-07,0.26251614277205
3.22832687862583e-08,-1.72978139934277e-07,0.262516142757574
3.55016235603705e-08,-1.69533799943247e-07,0.262516142743098
3.9520418976818e-08,-1.67050322029512e-07,0.262516142728622
4.40589666572015e-08,-1.6570884942029e-07,0.262516142714986
4.88228976409758e-08,-1.65613224145845e-07,0.26251614270135
5.34872904460207e-08,-1.66785524687939e-07,0.262516142687714
5.77427563282491e-08,-1.69152184010924e-07,0.262516142691819
6.12780705865192e-08,-1.72578996839918e-07,0.262516142695923
6.38420784219087e-08,-1.76851378448048e-07,0.262516142700028
6.52426898894288e-08,-1.81695020884084e-07,0.262516142702389
6.5369190605952e-08,-1.86798766993693e-07,0.262516142704749
6.41914535123177e-08,-1.91828686733338e-07,0.262516142720116
6.17762571379411e-08,-1.96454685249315e-07,0.262516142705619
5.82534767605335e-08,-2.00365542364068e-07,0.262516142691123
5.38376377126815e-08,-2.03298431192214e-07,0.262516142676627
4.88019826567507e-08,-2.05056537679272e-07,0.262516142660415
4.34687027116352e-08,-2.0551312602194e-07,0.262516142644202
3.81791471048445e-08,-2.04629519730059e-07,0.262516142627989
3.32789096369625e-08,-2.02443882109454e-07,0.262516142633684
2.90792668083878e-08,-1.99102375327289e-07,0.26251614263938
2.58548355390373e-08,-1.94818184900367e-07,0.262516142645075
2.38090813142787e-08,-1.89874341139967e-07,0.262516142653341
2.30871486220856e-08,-1.84590500462034e-07,0.262516142661607
2.37374511225386e-08,-1.79314931824996e-07,0.262516142669873
2.57265524189666e-08,-1.74404613849775e-07,0.262516142670022
2.89173217530389e-08,-1.70180062772274e-07,0.262516142670171
3.3099181737404e-08,-1.66927635788563e-07,0.26251614267032
3.79816690383431e-08,-1.64875170050218e-07,0.262516142671757
4.32522292566411e-08,-1.64169022069746e-07,0.262516142673194
4.85565930296713e-08,-1.64868159540816e-07,0.262516142674631
5.35407745769629e-08,-1.66936765660708e-07,0.262516142680894
5.78595765972549e-08,-1.7025244665444e-07,0.262516142687157
6.12149934076209e-08,-1.74608485232971e-07,0.26251614269342
6.33661450205007e-08,-1.79730721214609e-07,0.262516142697974
6.41593220677742e-08,-1.85289353244471e-07,0.262516142702529
6.35139718648424e-08,-1.9092671714845e-07,0.262516142714836
6.14721078010136e-08,-1.96263769103697e-07,0.262516142700522
5.81382262921844e-08,-2.009627034801e-07,0.262516142686208
5.37139627108045e-08,-2.04714129331671e-07,0.262516142671894
4.84742659622303e-08,-2.07263566102401e-07,0.262516142652168
4.27465657607561e-08,-2.08445295548091e-07,0.262516142632442
3.68940608122716e-08,-2.0817706178826e-07,0.262516142612717
3.1311661707218e-08,-2.06467945282189e-07,0.26251614261488
2.63353454352816e-08,-2.03423182070247e-07,0.262516142617044
2.22855912033162e-08,-1.99238142040911e-07,0.262516142619208
1.94182264706066e-08,-1.94189711797132e-07,0.262516142626522
1.79241568137205e-08,-1.88602578646172e-07,0.262516142633836
1.78981720637884e-08,-1.82842776538297e-07,0.262516142641151
1.93387862647076e-08,-1.7729443645477e-07,0.262516142629939
2.21500423745537e-08,-1.72319623842833e-07,0.262516142618727
2.61439718951144e-08,-1.68249437225074e-07,0.262516142607515
3.10455702266275e-08,-1.65360683453505e-07,0.262516142594965
3.65366695465337e-08,-1.63849072104072e-07,0.262516142582415
4.22495061711625e-08,-1.63822334688371e-07,0.262516142569864
4.78146567302959e-08,-1.65302281356838e-07,0.262516142569475
5.28457090423966e-08,-1.68187325863279e-07,0.262516142569087
5.70014541665395e-08,-1.72297970948308e-07,0.262516142568697
5.99829393409038e-08,-1.77376745268817e-07,0.262516142570348
6.15948006529362e-08,-1.83099109099108e-07,0.262516142571999
6.17247429915143e-08,-1.89091260010786e-07,0.26251614257744
6.03255557742021e-08,-1.94966863254072e-07,0.262516142564171
5.74855138299572e-08,-2.00349661280868e-07,0.262516142550902
5.33746316978836e-08,-2.04889017300215e-07,0.262516142537633
4.82429294786447e-08,-2.0828261553939e-07,0.262516142520474
4.2413767718403e-08,-2.10314254717169e-07,0.262516142503315
3.62548627358406e-08,-2.10849468131009e-07,0.262516142486156
3.01678260357667e-08,-2.0984239518393e-07,0.262516142481858
2.45266132530524e-08,-2.07362250564384e-07,0.262516142477561
1.96905863884231e-08,-2.0356864661554e-07,0.262516142473263
1.59622260017137e-08,-1.98705345045163e-07,0.262516142471497
1.35817242884119e-08,-1.93091804050453e-07,0.262516142469731
1.26970953635881e-08,-1.87093939998977e-07,0.262516142467964
1.33679787921954e-08,-1.81112903290792e-07,0.262516142450294
1.55372530280847e-08,-1.75529487718409e-07,0.262516142432623
1.90565470687914e-08,-1.70710911919239e-07,0.262516142414952
2.36840289064767e-08,-1.66979398471083e-07,0.262516142395424
2.91159103367543e-08,-1.64579928880248e-07,0.262516142375896
3.49892315219457e-08,-1.63673962998486e-07,0.262516142356368
4.09111061935707e-08,-1.64331673805946e-07,0.262516142348426
4.64873701658186e-08,-1.66510181660822e-07,0.262516142340483
5.13438384125762e-08,-1.70073079967577e-07,0.262516142332541
5.51477426933107e-08,-1.74797399463658e-07,0.262516142328252
5.76454565433343e-08,-1.80377875867098e-07,0.262516142323963
5.86685441724462e-08,-1.86455069144212e-07,0.262516142307443
5.81352774650348e-08,-1.92614161239563e-07,0.262516142294093
5.60603778280741e-08,-1.98477681525614e-07,0.262516142280742
5.25676524023666e-08,-2.03665526161773e-07,0.262516142267392
4.7872910938407e-08,-2.07840497051918e-07,0.262516142250753
4.22707038825538e-08,-2.10732414921653e-07,0.262516142234114
