2017 01 01 00 57754.0	  6.321339217522240e-08   7.494718167946868e-08  -9.183355338903008e-10   2.027984354210235e-07  -8.455902423008504e-08  -1.099190868096871e-10
2017 01 01 03 57754.125	  7.164502770793985e-08   8.466561660951136e-08  -9.012231147066354e-10   1.479421909062230e-07  -9.965329696766754e-08  -1.437069912838738e-10
2017 01 01 06 57754.250	  7.021457686346150e-08   7.560018660467910e-08  -8.664055261360485e-10   1.073279858631457e-07  -8.184323851537124e-08  -1.379049357971522e-10
2017 01 01 09 57754.375	  6.088640665357139e-08   6.282177512146915e-08  -8.256637164210342e-10   7.994304360782546e-08  -7.285500800578112e-08  -1.556437649593311e-10
2017 01 01 12 57754.500	  4.118934842044663e-08   5.466516252248264e-08  -7.796138876144244e-10   3.255314154007915e-08  -7.708707865633014e-08  -1.055123585764910e-10
2017 01 01 15 57754.625	  3.045920347908689e-08   5.748659070301244e-08  -7.457836516116502e-10   7.377472258687629e-09  -5.486315327949083e-08   1.450612025130106e-11
2017 01 01 18 57754.750	  3.323113860116661e-08   6.784233016394638e-08  -7.152503893917172e-10   1.746891585362859e-08  -3.827463547525684e-08   1.465066869600960e-10
2017 01 01 21 57754.875	  5.658319586697702e-08   8.209197599427760e-08  -6.575922501988799e-10   1.023180257094446e-08  -2.636821504657874e-10   2.412291436473792e-10
2017 01 02 00 57755.0	  8.058396534056793e-08   9.798629696311121e-08  -5.749452380450917e-10   3.827761547229778e-09   3.001295413269797e-08   2.602893261669739e-10
2017 01 02 03 57755.125	  9.199600100638839e-08   9.948054717839828e-08  -4.874211515275550e-10  -1.281161141472155e-08   3.931972373074527e-08   2.455237177381092e-10
2017 01 02 06 57755.250	  9.876761432497617e-08   7.777571853516794e-08  -4.357235896880722e-10  -2.284826168607661e-08   6.312387262905048e-08   2.645748734798492e-10
2017 01 02 09 57755.375	  1.068423375051991e-07   4.856782794544913e-08  -4.468807777679967e-10  -3.362352434727022e-08   5.939780566077597e-08   2.956395039792544e-10
2017 01 02 12 57755.500	  1.098507785402130e-07   2.069903338672519e-08  -4.637359339674311e-10  -3.321924431121162e-08   1.043910340778577e-07   3.015890519354836e-10
2017 01 02 15 57755.625	  1.047467108463752e-07   6.259522242788711e-10  -4.567069889115062e-10  -2.518569784284511e-09   1.688610000868247e-07   2.546349226857599e-10
2017 01 02 18 57755.750	  9.057375871931372e-08  -1.090982523093501e-08  -4.498920899760012e-10   5.849427011453134e-08   1.970828951359164e-07   1.503293701610001e-10
2017 01 02 21 57755.875	  8.047159187299065e-08  -1.183992997254222e-08  -4.564316410502202e-10   6.890233319696090e-08   1.855781236285962e-07   2.131328343968410e-11
2017 01 03 00 57756.0	  7.653160107914986e-08  -1.295903857846022e-08  -4.743429950461901e-10   5.455247452098696e-08   1.404369163913523e-07  -7.838057082481586e-11
2017 01 03 03 57756.125	  6.875137257265947e-08  -2.244515625806370e-08  -4.956893451946299e-10   2.850839521387930e-08   9.266159061013458e-08  -1.278059108411740e-10
2017 01 03 06 57756.250	  5.475527279806148e-08  -3.256082687319156e-08  -5.188455019539387e-10  -1.662825899263860e-08   5.528867945964947e-08  -1.274677873380720e-10
2017 01 03 09 57756.375	  3.793549490440500e-08  -3.966179486582356e-08  -5.191977905837218e-10  -8.124820952362410e-08  -3.404845609460864e-08  -1.209359461948010e-10
2017 01 03 12 57756.500	  1.973543021069916e-08  -4.883753212774985e-08  -4.704528205492335e-10  -1.416188108467516e-07  -7.040411666701874e-08  -1.382414091457462e-10
2017 01 03 15 57756.625	 -3.736981585346771e-09  -5.331041502437524e-08  -4.129469415983883e-10  -1.993939361706774e-07  -8.221440117205604e-08  -1.121156265589700e-10
2017 01 03 18 57756.750	 -2.340119782852910e-08  -6.364869976598359e-08  -4.005348691205932e-10  -2.127070190398323e-07  -1.288964679014262e-07  -1.937909507928504e-11
2017 01 03 21 57756.875	 -1.960370689930901e-08  -8.103912723189472e-08  -4.078737719165390e-10  -2.163109733466842e-07  -1.122668058314652e-07   6.048612586815011e-11
2017 01 04 00 57757.0	  4.197986545463960e-09  -1.040278741891853e-07  -4.038337382907485e-10  -2.054143625075288e-07  -8.458175524882464e-08   8.117601840444716e-11
2017 01 04 03 57757.125	  2.517731146790315e-08  -1.323837133032885e-07  -3.904300355544090e-10  -1.819823053723524e-07  -7.223408885201263e-08   4.696082370433103e-11
2017 01 04 06 57757.250	  3.525985684088809e-08  -1.583393169809552e-07  -3.962689440040260e-10  -1.155375749166390e-07  -3.078626385920882e-08   6.925349247279149e-12
2017 01 04 09 57757.375	  4.469407939985631e-08  -1.808735304358960e-07  -4.356753065949251e-10  -4.409955703581037e-08  -4.829946163372533e-08  -9.604343210557976e-12
2017 01 04 12 57757.500	  4.884646904187685e-08  -2.043161567148020e-07  -4.818985578612458e-10   1.764105876112931e-09  -9.426918753002204e-08  -1.806143800083809e-11
2017 01 04 15 57757.625	  4.595121324825960e-08  -2.149418915868840e-07  -5.208084196057111e-10   4.675622193301923e-08  -1.357923101776948e-07  -1.673803922942092e-11
2017 01 04 18 57757.750	  4.201415700138261e-08  -2.060897240113966e-07  -5.420380423130707e-10   7.185950205410357e-08  -1.902828471098562e-07  -1.564429071771695e-11
2017 01 04 21 57757.875	  4.132773007043297e-08  -1.859206981877514e-07  -5.553607312974852e-10   4.510106879704003e-08  -2.661692409292074e-07  -4.063367664604395e-11
2017 01 05 00 57758.0	  4.313827688361152e-08  -1.710047653643978e-07  -5.635792420674339e-10  -1.102931496266355e-09  -3.194437286512911e-07  -9.012408378043799e-11
